Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.01,-2.3463022730505787
100% Corpus,4,0.01,0.31,-2.398328873804865
100% Corpus,4,0.01,0.61,-2.5158998151676704
100% Corpus,4,0.01,0.9099999999999999,-2.4668458820464556
100% Corpus,4,0.01,symmetric,-2.3709721941504824
100% Corpus,4,0.31,0.01,-2.5946375253836793
100% Corpus,4,0.31,0.31,-2.35852591180874
100% Corpus,4,0.31,0.61,-2.3942561090243304
100% Corpus,4,0.31,0.9099999999999999,-3.141033227925507
100% Corpus,4,0.31,symmetric,-2.4417493353888085
100% Corpus,4,0.61,0.01,-2.497047577261721
100% Corpus,4,0.61,0.31,-2.6341552714298553
100% Corpus,4,0.61,0.61,-2.72528777970355
100% Corpus,4,0.61,0.9099999999999999,-5.194207076720526
100% Corpus,4,0.61,symmetric,-2.7447585920459656
100% Corpus,4,0.9099999999999999,0.01,-2.5992261918120434
100% Corpus,4,0.9099999999999999,0.31,-2.6439779161014725
100% Corpus,4,0.9099999999999999,0.61,-2.942163084304704
100% Corpus,4,0.9099999999999999,0.9099999999999999,-4.208247317109596
100% Corpus,4,0.9099999999999999,symmetric,-2.6083179621360424
100% Corpus,4,symmetric,0.01,-2.5571851102980494
100% Corpus,4,symmetric,0.31,-2.3405292131489475
100% Corpus,4,symmetric,0.61,-2.505527648812028
100% Corpus,4,symmetric,0.9099999999999999,-2.8598459141277726
100% Corpus,4,symmetric,symmetric,-2.898790791920758
100% Corpus,4,asymmetric,0.01,-2.488575609990223
100% Corpus,4,asymmetric,0.31,-3.444313767878839
100% Corpus,4,asymmetric,0.61,-6.835249204237215
100% Corpus,4,asymmetric,0.9099999999999999,-11.993662104453342
100% Corpus,4,asymmetric,symmetric,-2.739419371422764
