Topics,Alpha,Beta,Coherence
6,asymmetric,0.01,-5.0946027006476475
6,asymmetric,0.31,-11.3498360579351
6,asymmetric,0.61,-13.404820992985398
6,asymmetric,0.9099999999999999,-13.635978167016367
6,asymmetric,symmetric,-9.868839445958484
7,0.01,0.01,-3.6254673798404866
7,0.01,0.31,-4.463056422259233
7,0.01,0.61,-8.584506115697659
7,0.01,0.9099999999999999,-12.074522631273878
7,0.01,symmetric,-4.485108117513605
7,0.31,0.01,-3.643887781628588
7,0.31,0.31,-6.326846991810048
7,0.31,0.61,-10.915366079123263
7,0.31,0.9099999999999999,-11.419851810192524
7,0.31,symmetric,-4.253799720155536
7,0.61,0.01,-3.4308675111417775
7,0.61,0.31,-5.476824751436331
7,0.61,0.61,-11.882815411994686
7,0.61,0.9099999999999999,-12.139345463719048
7,0.61,symmetric,-4.353125148367082
7,0.9099999999999999,0.01,-3.791279861658446
7,0.9099999999999999,0.31,-4.799705263109089
7,0.9099999999999999,0.61,-10.307796104572693
7,0.9099999999999999,0.9099999999999999,-12.38765642028105
7,0.9099999999999999,symmetric,-3.6703198800115757
7,symmetric,0.01,-3.255787873501458
7,symmetric,0.31,-5.57740404921497
7,symmetric,0.61,-11.30318655723401
7,symmetric,0.9099999999999999,-11.961120402182145
7,symmetric,symmetric,-4.546698122861629
7,asymmetric,0.01,-6.387706775450591
7,asymmetric,0.31,-12.775122364257816
7,asymmetric,0.61,-12.89328782899523
7,asymmetric,0.9099999999999999,-9.78176607060181
7,asymmetric,symmetric,-10.78340436104123
8,0.01,0.01,-3.751488983194048
8,0.01,0.31,-5.91223014409818
8,0.01,0.61,-11.018984689086913
8,0.01,0.9099999999999999,-13.677160599538228
8,0.01,symmetric,-4.991550311468277
8,0.31,0.01,-4.301599814659366
8,0.31,0.31,-8.266821596693422
8,0.31,0.61,-10.965248226770594
8,0.31,0.9099999999999999,-12.66888078105833
8,0.31,symmetric,-5.816745417603755
8,0.61,0.01,-4.0727547625724405
8,0.61,0.31,-7.620743347927091
8,0.61,0.61,-11.71248097074478
8,0.61,0.9099999999999999,-11.950372677480086
8,0.61,symmetric,-4.618818825029502
8,0.9099999999999999,0.01,-3.552677258972613
8,0.9099999999999999,0.31,-6.831775000687666
8,0.9099999999999999,0.61,-8.705198774000396
8,0.9099999999999999,0.9099999999999999,-11.047546263319365
8,0.9099999999999999,symmetric,-4.3029012456697275
8,symmetric,0.01,-4.010574758850015
8,symmetric,0.31,-6.871964592001218
8,symmetric,0.61,-10.005550002822678
8,symmetric,0.9099999999999999,-12.96541223762463
8,symmetric,symmetric,-5.674110595594263
8,asymmetric,0.01,-7.543201193910573
8,asymmetric,0.31,-14.089361038784144
8,asymmetric,0.61,-12.165762440357778
8,asymmetric,0.9099999999999999,-15.051243047039787
8,asymmetric,symmetric,-10.998477461945075
9,0.01,0.01,-4.0522136770341275
9,0.01,0.31,-6.294405069499563
9,0.01,0.61,-12.032490105390877
9,0.01,0.9099999999999999,-13.167267926224664
9,0.01,symmetric,-5.146225661812184
9,0.31,0.01,-4.775038334194357
9,0.31,0.31,-10.391447333392536
9,0.31,0.61,-15.260000418971352
9,0.31,0.9099999999999999,-12.659133773598077
9,0.31,symmetric,-6.3622523686416095
9,0.61,0.01,-4.488178119334732
9,0.61,0.31,-8.580180808671232
9,0.61,0.61,-14.069790477058515
9,0.61,0.9099999999999999,-13.427851780731048
9,0.61,symmetric,-6.8466853439549205
9,0.9099999999999999,0.01,-4.932843372664405
9,0.9099999999999999,0.31,-6.921988991942625
9,0.9099999999999999,0.61,-12.095319638814592
9,0.9099999999999999,0.9099999999999999,-12.106059216245345
9,0.9099999999999999,symmetric,-5.669373354363871
9,symmetric,0.01,-4.227252008741553
9,symmetric,0.31,-7.525319053069964
9,symmetric,0.61,-13.526185323921643
9,symmetric,0.9099999999999999,-14.41584078917628
9,symmetric,symmetric,-5.750938043275628
9,asymmetric,0.01,-7.735093577427689
9,asymmetric,0.31,-9.930431601807648
9,asymmetric,0.61,-9.4076142684441
9,asymmetric,0.9099999999999999,-12.877531924529324
9,asymmetric,symmetric,-12.930299738884635
10,0.01,0.01,-4.963827125554534
10,0.01,0.31,-9.187869009326922
10,0.01,0.61,-11.678315703037281
10,0.01,0.9099999999999999,-11.61770425977174
10,0.01,symmetric,-6.664458549871837
10,0.31,0.01,-5.301521307232558
10,0.31,0.31,-9.961726406276957
10,0.31,0.61,-11.71181511871614
10,0.31,0.9099999999999999,-12.628355144861404
10,0.31,symmetric,-6.1202159399063225
10,0.61,0.01,-4.682631371351984
10,0.61,0.31,-8.167634158926845
10,0.61,0.61,-9.386464152938869
10,0.61,0.9099999999999999,-12.72255456604574
10,0.61,symmetric,-6.380277324767657
10,0.9099999999999999,0.01,-4.61633143830409
10,0.9099999999999999,0.31,-6.550562717932313
10,0.9099999999999999,0.61,-11.122234289946032
10,0.9099999999999999,0.9099999999999999,-11.14717951349196
10,0.9099999999999999,symmetric,-4.917851926985916
10,symmetric,0.01,-4.7417362497044255
10,symmetric,0.31,-9.030522207241543
10,symmetric,0.61,-11.308103742760991
10,symmetric,0.9099999999999999,-10.17833240483871
10,symmetric,symmetric,-6.716961239869005
10,asymmetric,0.01,-7.086935285605494
10,asymmetric,0.31,-9.778330528445688
10,asymmetric,0.61,-11.496024071791553
10,asymmetric,0.9099999999999999,-14.900738888193382
10,asymmetric,symmetric,-13.34225411145396
